0.0001879	0	1879
1e-07	12	1
1e-07	13	1
1e-07	16	1
1e-07	17	1
2e-07	19	2
1e-07	21	1
3e-07	23	3
1e-07	25	1
1.2e-06	26	12
1.1e-06	27	11
1.59e-05	28	159
8.7e-06	29	87
0.0174154	30	174154
2.52e-05	31	252
9.34e-05	32	934
0.0211353	33	211353
4.69e-05	34	469
0.0001039	35	1039
0.0295401	36	295401
0.0095388	37	95388
0.0125404	38	125404
0.0528158	39	528158
0.0204022	40	204022
0.0344355	41	344355
0.105317	42	1053167
0.0454797	43	454797
0.0173618	44	173618
0.0458911	45	458911
0.0120854	46	120854
0.0186665	47	186665
0.038579	48	385790
0.0148061	49	148061
0.0257157	50	257157
0.0295512	51	295512
0.0382068	52	382068
0.0279558	53	279558
0.0260361	54	260361
0.0179628	55	179628
0.0189582	56	189582
0.0265634	57	265634
0.0210244	58	210244
0.0264939	59	264939
0.0274871	60	274871
0.029474	61	294740
0.0190221	62	190221
0.020577	63	205770
0.0185353	64	185353
0.013807	65	138070
0.0188234	66	188234
0.014636	67	146360
0.0134555	68	134555
0.0127729	69	127729
0.0111824	70	111824
0.007633	71	76330
0.0079348	72	79348
0.0057044	73	57044
0.0051936	74	51936
0.0052418	75	52418
0.0028636	76	28636
0.0030179	77	30179
0.0021224	78	21224
0.0019051	79	19051
0.0013066	80	13066
0.0007651	81	7651
0.0007361	82	7361
0.0003787	83	3787
0.0002476	84	2476
0.0001245	85	1245
5.4e-05	86	540
2.07e-05	87	207
8.2e-06	88	82
4.4e-06	89	44
1.2e-06	90	12
2e-07	91	2
